nivel,algoritmo,tiempo_ejecucion,memoria_actual,memoria_maxima,ruta,tamaño_de_la_ruta
1,A*,0.0851101875305175,0.073208,2.188736,"[['C', 'W', 1], ['A', 'D', 7]]",2
1,BFS,0.0409977436065673,0.037304,1.186112,"[['C', 'W', 1], ['A', 'D', 7]]",2
1,DFS,0.0875256061553955,0.018296,0.246576,"[['B', 'D', 1], ['B', 'A', 8], ['C', 'W', 1], ['A', 'D', 7]]",4
2,BFS,9.451052188873293,0.124464,139.169274,"[['M', 'W', 2], ['L', 'D', 2], ['F', 'S', 2], ['N', 'W', 1], ['A', 'D', 4]]",5
2,DFS,2.1702349185943604,0.023568,0.884698,"[['P', 'S', 3], ['P', 'W', 2], ['P', 'S', 1], ['M', 'W', 2], ['P', 'S', 1], ['L', 'D', 2], ['F', 'S', 1], ['N', 'W', 1], ['F', 'S', 1], ['A', 'D', 4]]",10
2,A*,3.907820701599121,0.158872,64.778386,"[['M', 'W', 2], ['N', 'W', 1], ['L', 'D', 2], ['F', 'S', 2], ['A', 'D', 4]]",5
3,A*,11.165196418762209,0.158752,145.379056,"[['J', 'A', 4], ['H', 'W', 2], ['D', 'W', 2], ['F', 'W', 1], ['M', 'W', 1], ['A', 'D', 4]]",6
3,BFS,20.067336082458496,0.124488,243.677848,"[['J', 'A', 4], ['H', 'W', 2], ['D', 'W', 2], ['F', 'W', 1], ['M', 'W', 1], ['A', 'D', 4]]",6
3,DFS,2.1455819606781006,0.019368,0.920864,"[['F', 'W', 1], ['G', 'D', 1], ['F', 'S', 1], ['J', 'A', 4], ['M', 'W', 1], ['F', 'W', 2], ['C', 'A', 1], ['D', 'W', 2], ['H', 'W', 3], ['A', 'D', 4]]",10
4,BFS,0.382565975189209,0.012128,5.726412,"[['D', 'A', 1], ['C', 'S', 2], ['E', 'S', 2], ['G', 'S', 1], ['A', 'D', 4]]",5
4,A*,0.3185696601867676,0.109496,3.910816,"[['E', 'S', 2], ['G', 'S', 1], ['D', 'A', 1], ['C', 'S', 2], ['A', 'D', 4]]",5
4,DFS,0.2930381298065185,0.02564,0.572514,"[['G', 'S', 1], ['L', 'D', 2], ['G', 'W', 1], ['L', 'D', 2], ['L', 'A', 3], ['G', 'S', 1], ['F', 'D', 1], ['G', 'W', 1], ['L', 'D', 3], ['L', 'A', 4], ['G', 'S', 1], ['D', 'A', 1], ['C', 'S', 2], ['G', 'W', 1], ['I', 'D', 1], ['G', 'S', 1], ['E', 'S', 2], ['M', 'A', 2], ['M', 'D', 1], ['A', 'D', 4]]",20
5,BFS,0.9614155292510986,0.124152,11.402528,"[['D', 'A', 1], ['E', 'S', 1], ['C', 'S', 2], ['M', 'A', 2], ['G', 'W', 2], ['A', 'D', 4]]",6
5,A*,0.8486549854278564,0.158632,9.06154,"[['C', 'S', 2], ['D', 'A', 1], ['E', 'S', 1], ['M', 'A', 2], ['G', 'W', 2], ['A', 'D', 4]]",6
5,DFS,0.3775453567504883,0.022296,0.490276,"[['I', 'A', 1], ['G', 'W', 1], ['I', 'D', 1], ['M', 'A', 3], ['I', 'A', 1], ['G', 'S', 1], ['I', 'D', 1], ['G', 'W', 2], ['I', 'A', 1], ['M', 'D', 1], ['C', 'S', 1], ['M', 'A', 1], ['G', 'S', 1], ['C', 'W', 2], ['G', 'S', 1], ['G', 'W', 2], ['I', 'D', 1], ['D', 'A', 1], ['E', 'S', 1], ['A', 'D', 4]]",20
4,A*,0.31350207328796387,0.112424,3.920808,"[['E', 'S', 2], ['G', 'S', 1], ['D', 'A', 1], ['C', 'S', 2], ['A', 'D', 4]]",5
